loss,accuracy,val_loss,val_accuracy
0.7461696267127991,0.46864548325538635,0.4430069029331207,0.5802675485610962
0.3908461630344391,0.6471571922302246,0.3124571144580841,0.7341136932373047
0.25989046692848206,0.7930601835250854,0.23399944603443146,0.8093645572662354
0.16707171499729156,0.8787625432014465,0.2664192020893097,0.8260869383811951
0.09815257042646408,0.9360367655754089,0.2951743006706238,0.8026756048202515
0.058514274656772614,0.9686455130577087,0.2981280982494354,0.8595317602157593
0.04256371408700943,0.9828595519065857,0.20966829359531403,0.8929765820503235
0.027837149798870087,0.9912207126617432,0.37588733434677124,0.8779264092445374
0.022952532395720482,0.9899665713310242,0.3482564091682434,0.8795986771583557
0.020002765581011772,0.9924749135971069,0.37243813276290894,0.8929765820503235
0.013706735335290432,0.9966555237770081,0.40100038051605225,0.8779264092445374
0.010717067867517471,0.9954013228416443,0.43111085891723633,0.8812708854675293
0.010007712990045547,0.9966555237770081,0.6325649619102478,0.8662207126617432
0.011702143587172031,0.9974916577339172,0.36857208609580994,0.8879598379135132
0.011444115079939365,0.9958193898200989,0.5820261240005493,0.8862876296043396
