loss,accuracy,val_loss,val_accuracy
0.979134738445282,0.8365384340286255,0.35385212302207947,0.8612040281295776
0.33622899651527405,0.8566053509712219,0.2675322890281677,0.8695651888847351
0.248396098613739,0.8795986771583557,0.20099876821041107,0.9147157073020935
0.22103825211524963,0.8925585150718689,0.18083882331848145,0.9364548325538635
0.18246063590049744,0.9197324514389038,0.16282294690608978,0.9464883208274841
0.15034320950508118,0.9402173757553101,0.1451110690832138,0.9414715766906738
0.12206035852432251,0.9515050053596497,0.12316520512104034,0.9548494815826416
0.0986243411898613,0.9644649028778076,0.14163850247859955,0.9481605291366577
0.07826036959886551,0.9753344655036926,0.12099107354879379,0.95652174949646
0.06496454030275345,0.9770066738128662,0.13326868414878845,0.9615384340286255
0.041703276336193085,0.9853678941726685,0.15582524240016937,0.95652174949646
0.043882522732019424,0.9828595519065857,0.16235308349132538,0.9698996543884277
0.03008425235748291,0.9903846383094788,0.16665630042552948,0.9615384340286255
0.03817236050963402,0.9870401620864868,0.22041839361190796,0.9648829698562622
0.022401494905352592,0.9928929805755615,0.1862451583147049,0.9632107019424438
